iter	Logloss
0	0.6470467153
1	0.607631895
2	0.5727410558
3	0.5437187937
4	0.5188018483
5	0.4978914313
6	0.4790689665
7	0.464008414
8	0.4502344684
9	0.4381683956
10	0.4277028541
11	0.4188983498
12	0.4113864765
13	0.4043468359
14	0.3981960486
15	0.3932773319
16	0.3886468201
17	0.3849797707
18	0.3812501637
19	0.3785238616
20	0.3757867129
21	0.3732573881
22	0.3711751775
23	0.3691011202
24	0.3673251328
25	0.3657799316
26	0.3643689812
27	0.3629995603
28	0.3620477663
29	0.3609026323
30	0.359977028
31	0.3591500953
32	0.3583369663
33	0.357619735
34	0.3568220553
35	0.3563057077
36	0.3557374518
37	0.3552859594
38	0.354757023
39	0.3541919437
40	0.3536624871
41	0.3532939241
42	0.3528008183
43	0.3524070892
44	0.3520356989
45	0.3517819368
46	0.351467073
47	0.3511744506
48	0.3509594755
49	0.3506751351
50	0.3504438179
51	0.3500764486
52	0.3498082533
53	0.3495890349
54	0.3493799643
55	0.3490896829
56	0.3488761492
57	0.3485923499
58	0.3483220011
59	0.3480931176
60	0.347885036
61	0.3477089904
62	0.3475570063
63	0.3473619254
64	0.3471648374
65	0.3469281578
66	0.3467367778
67	0.346566129
68	0.3462967449
69	0.3461292921
70	0.3460290336
71	0.3458975772
72	0.3457458579
73	0.3455908677
74	0.3453907659
75	0.3452744017
76	0.3451210283
77	0.344936939
78	0.3447863953
79	0.3446369159
80	0.3445507842
81	0.3444562331
82	0.3443234418
83	0.3441677697
84	0.3440348324
85	0.3439125323
86	0.3437819809
87	0.3437039196
88	0.3435662001
89	0.3434206803
90	0.3433303922
91	0.3431750964
92	0.3429972511
93	0.3429102753
94	0.3428229373
95	0.3427124376
96	0.3425808538
97	0.3424085977
98	0.3423452156
99	0.3421848682
100	0.342093196
101	0.3419790814
102	0.3418481414
103	0.3417702069
104	0.3416586275
105	0.3415739316
106	0.3414240986
107	0.3413099122
108	0.3412134498
109	0.3411090898
110	0.3409889244
111	0.3408744286
112	0.3407772968
113	0.340619941
114	0.3404136347
115	0.3403680831
116	0.3403332979
117	0.3402374791
118	0.3400049902
119	0.3399484511
120	0.339909818
121	0.3397968756
122	0.3396652624
123	0.3395467744
124	0.3393920403
125	0.3393304222
126	0.3392269037
127	0.3392238141
128	0.3390859149
129	0.338981324
130	0.3389076664
131	0.3388378426
132	0.3387409364
133	0.338557001
134	0.3384559261
