iter	Logloss
135	0.3383728427
136	0.3382757056
137	0.3382250013
138	0.3381583878
139	0.3380631247
140	0.3379580405
141	0.3378563108
142	0.3377679573
143	0.3377156457
144	0.3375908431
145	0.3374801213
146	0.3374271365
147	0.3372835086
148	0.3371966476
149	0.3370960662
150	0.3370253503
151	0.3369426271
152	0.3368827392
153	0.3368308648
154	0.3367684638
155	0.3367066635
156	0.3365558381
157	0.3364510374
158	0.3364064898
159	0.3362596334
160	0.336138253
161	0.3360764763
162	0.335968766
163	0.335843696
164	0.3357530665
165	0.3357237018
166	0.3357223147
167	0.3356401719
168	0.3356026242
169	0.3355160877
170	0.3354821523
171	0.3354079314
172	0.3353387641
173	0.3352810306
174	0.3351800845
175	0.3350948881
176	0.3350530133
177	0.3350075854
178	0.334909971
179	0.3348372694
180	0.334737759
181	0.3346938327
182	0.3345866993
183	0.3345231696
184	0.3344147505
185	0.3343824783
186	0.3343104504
187	0.3342616512
188	0.334203995
189	0.3341200167
190	0.3340551199
191	0.3339301992
192	0.3338244133
193	0.3337475958
194	0.3336605108
195	0.3336081321
196	0.3335245695
197	0.3334214622
198	0.3333499744
199	0.3332641601
200	0.3331851115
201	0.3331407132
202	0.333083964
203	0.3330259733
204	0.3329813943
205	0.3329493471
206	0.3328752424
207	0.3327417599
208	0.3326486034
209	0.3325194627
210	0.3324607156
211	0.3323457291
212	0.3322850592
213	0.3322541687
214	0.3321395606
215	0.3320700274
216	0.3320081702
217	0.3319624867
218	0.3318621026
219	0.3317678435
220	0.3316188015
221	0.3315148994
222	0.331450716
223	0.3313885073
224	0.3312803637
225	0.3311930023
226	0.3310964916
227	0.3310245847
228	0.3309202599
229	0.330831838
230	0.3307276748
231	0.3306064599
232	0.3305100796
233	0.3304196912
234	0.3302984926
235	0.3302247471
236	0.3301524872
237	0.3300921274
238	0.330006025
239	0.3299272868
240	0.3298995368
241	0.3298384722
242	0.3297550212
243	0.3296722196
244	0.329625425
245	0.3295790608
246	0.3295162004
247	0.3294558534
248	0.3293690478
249	0.3292822549
250	0.3291663863
251	0.3290552645
252	0.3289405422
253	0.3288274867
254	0.3287369804
255	0.3286609115
256	0.3285947564
257	0.3285288497
258	0.3284450902
259	0.3283892575
260	0.3283078896
261	0.3282354347
262	0.3281448005
263	0.3280713118
264	0.3279418698
265	0.3278502054
266	0.327769331
267	0.3276874939
268	0.3276138867
269	0.3274996212
270	0.3274306311
271	0.3273070151
272	0.3272537286
273	0.3271862267
274	0.327115406
275	0.3270207055
276	0.3269431296
277	0.3268541091
278	0.3267755377
279	0.3266842426
280	0.3265834098
281	0.3265024605
282	0.326443562
283	0.3263654472
284	0.3262751419
285	0.3262008364
286	0.3261197315
287	0.3260084069
288	0.3259355919
289	0.3258553826
290	0.3257865
291	0.3257246892
292	0.325639113
293	0.3255560752
294	0.3254558367
295	0.3253838057
296	0.325301872
297	0.3252073865
298	0.3251391913
299	0.3250560098
300	0.3249810703
301	0.3249019514
302	0.3248664111
303	0.3248293187
304	0.3247727673
305	0.3247019674
306	0.3246115797
307	0.3245408818
308	0.3244685069
309	0.3244029632
310	0.3243540746
311	0.324261267
312	0.3241693312
313	0.324069809
314	0.3240162475
315	0.3238963743
316	0.3238222121
317	0.3237528256
318	0.3236824279
319	0.3235996482
320	0.3235277418
321	0.323455828
322	0.3234123755
323	0.3233670466
324	0.3232946573
325	0.3232173312
326	0.3231140053
327	0.3230395369
328	0.3229936887
329	0.3229301296
330	0.3228886045
331	0.3228324527
332	0.3227760167
333	0.3227145182
334	0.3226708673
335	0.3226082635
336	0.3225591355
337	0.3225009086
338	0.3224206514
339	0.3223762366
340	0.3222959006
341	0.3222159157
342	0.3221473299
343	0.3221004845
344	0.3220398653
